date|status|DOD|dateb_20190821
2019-05-08|dead|2019-05-08|pre
2019-05-08|dead|2019-05-08|pre
2019-05-07|dead|2019-05-07|pre
2019-05-07|dead|2019-05-07|pre
2019-05-07|dead|2019-05-07|pre
2019-05-07|dead|2019-05-07|pre
2019-05-06|dead|2019-05-06|pre
2019-05-06|dead|2019-05-06|pre
2019-05-06|dead|2019-05-06|pre
2019-05-04|dead|2019-05-04|pre
2019-05-04|dead|2019-05-04|pre
2019-05-04|dead|2019-05-04|pre
2019-05-04|dead|2019-05-04|pre
2019-05-03|dead|2019-05-03|pre
2019-05-01|dead|2019-05-01|pre
2019-04-30|dead|2019-04-30|pre
2019-04-30|dead|2019-04-30|pre
2019-04-30|dead|2019-04-30|pre
2019-04-29|dead|2019-04-29|pre
2019-04-29|dead|2019-04-29|pre
2019-04-29|dead|2019-04-29|pre
2019-04-29|dead|2019-04-29|pre
2019-04-28|dead|2019-04-28|pre
2019-04-27|dead|2019-04-27|pre
2019-04-27|dead|2019-04-27|pre
2019-04-27|dead|2019-04-27|pre
2019-04-27|dead|2019-04-27|pre
2019-04-25|dead|2019-04-25|pre
2019-04-25|dead|2019-04-25|pre
2019-04-24|dead|2019-04-24|pre
2019-04-24|dead|2019-04-24|pre
2019-04-23|dead|2019-04-23|pre
2019-04-22|dead|2019-04-22|pre
2019-04-22|dead|2019-04-22|pre
2019-04-22|dead|2019-04-22|pre
2019-04-21|dead|2019-04-21|pre
2019-04-21|dead|2019-04-21|pre
2019-04-21|dead|2019-04-21|pre
2019-04-20|dead|2019-04-20|pre
2019-04-19|dead|2019-04-19|pre
2019-04-19|dead|2019-04-19|pre
2019-04-19|dead|2019-04-19|pre
2019-04-18|dead|2019-04-18|pre
2019-04-18|dead|2019-04-18|pre
2019-04-18|dead|2019-04-18|pre
2019-04-17|dead|2019-04-17|pre
2019-04-17|dead|2019-04-17|pre
2019-04-17|dead|2019-04-17|pre
2019-04-17|dead|2019-04-17|pre
2019-04-16|dead|2019-04-16|pre
2019-04-16|dead|2019-04-16|pre
2019-04-16|dead|2019-04-16|pre
2019-04-16|dead|2019-04-16|pre
2019-04-16|dead|2019-04-16|pre
2019-04-15|dead|2019-04-15|pre
2019-04-13|dead|2019-04-13|pre
2019-04-13|dead|2019-04-13|pre
2019-04-12|dead|2019-04-12|pre
2019-04-12|dead|2019-04-12|pre
2019-04-11|dead|2019-04-11|pre
2019-04-11|dead|2019-04-11|pre
2019-04-11|dead|2019-04-11|pre
