Date|Status
2019-09-11|dead
2019-09-11|Not_dead
2019-09-10|Not_dead
2019-09-10|dead
2019-09-10|Not_dead
2019-09-10|dead
2019-09-09|dead
2019-09-08|dead
2019-09-08|dead
2019-09-07|dead
2019-09-07|dead
2019-09-07|dead
2019-09-07|dead
2019-09-07|dead
2019-09-06|dead
2019-09-06|dead
2019-09-06|dead
2019-09-06|dead
2019-09-05|dead
2019-09-05|dead
2019-09-05|dead
2019-09-05|dead
2019-09-04|dead
2019-09-04|Not_dead
2019-09-04|dead
2019-09-04|dead
2019-09-03|Not_dead
2019-09-03|dead
2019-09-03|dead
2019-09-02|dead
2019-09-02|Not_dead
2019-09-02|dead
2019-09-01|Not_dead
2019-09-01|Not_dead
2019-08-31|dead
2019-08-31|dead
2019-08-30|dead
2019-08-30|Not_dead
2019-08-29|Not_dead
2019-08-29|dead
2019-08-29|dead
2019-08-29|Not_dead
2019-08-28|dead
2019-08-28|dead
2019-08-28|dead
2019-08-28|Not_dead
2019-08-27|Not_dead
2019-08-27|Not_dead
2019-08-27|Not_dead
2019-08-27|dead
2019-08-26|dead
2019-08-26|dead
2019-08-26|dead
2019-08-25|dead
2019-08-24|dead
2019-08-24|dead
2019-08-24|dead
2019-08-24|dead
2019-08-24|Not_dead
2019-08-23|dead
2019-08-23|dead
2019-08-23|dead
2019-08-22|Not_dead
2019-08-22|dead
2019-08-21|Not_dead
2019-08-21|Not_dead
2019-08-21|Not_dead
2019-08-21|Not_dead
2019-08-21|dead
2019-08-21|dead
2019-08-20|dead
2019-08-20|dead
2019-08-20|Not_dead
2019-08-19|Not_dead
2019-08-19|dead
2019-08-19|Not_dead
2019-08-19|Not_dead
2019-08-18|Not_dead
2019-08-18|dead
2019-08-18|Not_dead
2019-08-17|Not_dead
2019-08-16|dead
2019-08-16|Not_dead
2019-08-16|dead
2019-08-15|Not_dead
2019-08-15|Not_dead
2019-08-15|dead
2019-08-15|dead
2019-08-14|dead
2019-08-14|Not_dead
2019-08-14|Not_dead
2019-08-13|Not_dead
2019-08-13|Not_dead
2019-08-13|dead
2019-08-12|dead
2019-08-10|dead
2019-08-10|Not_dead
2019-08-10|dead
2019-08-09|dead
2019-08-09|dead
2019-08-09|dead
2019-08-09|Not_dead
2019-08-09|Not_dead
2019-08-09|dead
2019-08-09|dead
2019-08-08|dead
2019-08-08|dead
2019-08-08|dead
2019-08-07|dead
2019-08-06|dead
2019-08-06|dead
2019-08-04|dead
2019-08-03|dead
2019-08-02|dead
2019-08-02|dead
2019-08-02|Not_dead
2019-08-01|Not_dead
2019-07-31|dead
2019-07-31|Not_dead
2019-07-30|Not_dead
2019-07-28|dead
2019-07-27|dead
2019-07-25|dead
2019-07-24|dead
2019-07-23|dead
2019-07-23|dead
2019-07-23|Not_dead
2019-07-22|dead
2019-07-22|Not_dead
2019-07-22|dead
2019-07-22|Not_dead
2019-07-21|dead
2019-07-21|Not_dead
2019-07-20|dead
2019-07-19|dead
2019-07-18|dead
2019-07-18|Not_dead
2019-07-18|dead
2019-07-17|dead
2019-07-17|dead
2019-07-16|dead
2019-07-16|Not_dead
2019-07-16|dead
2019-07-16|dead
2019-07-16|dead
2019-07-16|Not_dead
2019-07-15|dead
2019-07-15|dead
2019-07-15|dead
2019-07-15|dead
2019-07-15|dead
2019-07-14|dead
2019-07-14|Not_dead
2019-07-13|Not_dead
2019-07-13|Not_dead
2019-07-13|dead
2019-07-12|dead
2019-07-12|dead
2019-07-12|Not_dead
2019-07-11|dead
2019-07-11|Not_dead
2019-07-10|Not_dead
2019-07-10|dead
2019-07-10|dead
2019-07-10|dead
2019-07-09|Not_dead
2019-07-09|dead
2019-07-09|dead
2019-07-09|dead
2019-07-09|dead
2019-07-08|Not_dead
2019-07-08|Not_dead
2019-07-07|Not_dead
2019-07-07|dead
2019-07-07|dead
2019-07-07|Not_dead
2019-07-06|dead
2019-07-06|Not_dead
2019-07-06|Not_dead
2019-07-05|dead
2019-07-05|Not_dead
2019-07-05|Not_dead
2019-07-05|dead
2019-07-05|dead
2019-07-05|dead
2019-07-05|Not_dead
2019-07-04|dead
2019-07-04|Not_dead
2019-07-04|Not_dead
2019-07-04|dead
2019-07-04|dead
2019-07-03|Not_dead
2019-07-03|Not_dead
2019-07-03|Not_dead
2019-07-03|dead
2019-07-03|dead
2019-07-03|Not_dead
2019-07-03|Not_dead
2019-07-02|dead
2019-07-02|dead
2019-07-02|dead
2019-07-02|dead
2019-07-02|dead
2019-07-02|dead
2019-07-02|dead
2019-07-01|dead
2019-07-01|dead
2019-07-01|dead
2019-06-30|Not_dead
2019-06-30|dead
2019-06-30|dead
2019-06-29|Not_dead
2019-06-29|dead
2019-06-29|dead
2019-06-29|dead
2019-06-29|dead
2019-06-29|dead
2019-06-28|dead
2019-06-28|Not_dead
2019-06-28|dead
2019-06-28|dead
2019-06-27|dead
2019-06-26|Not_dead
2019-06-26|Not_dead
2019-06-26|Not_dead
2019-06-26|Not_dead
2019-06-25|dead
2019-06-25|Not_dead
2019-06-24|Not_dead
2019-06-24|dead
2019-06-23|dead
2019-06-23|dead
2019-06-23|dead
2019-06-23|dead
2019-06-22|dead
2019-06-22|dead
2019-06-22|Not_dead
2019-06-22|dead
2019-06-21|dead
2019-06-21|dead
2019-06-20|dead
2019-06-20|dead
2019-06-19|dead
2019-06-19|Not_dead
2019-06-18|dead
2019-06-18|dead
2019-06-18|dead
2019-06-18|dead
2019-06-18|dead
2019-06-17|Not_dead
2019-06-17|Not_dead
2019-06-17|Not_dead
2019-06-17|Not_dead
2019-06-17|Not_dead
2019-06-16|dead
2019-06-16|Not_dead
2019-06-16|dead
2019-06-15|dead
2019-06-15|dead
2019-06-15|dead
2019-06-15|dead
2019-06-15|dead
2019-06-15|dead
2019-06-13|dead
2019-06-13|dead
2019-06-12|dead
2019-06-12|dead
2019-06-12|Not_dead
2019-06-12|dead
2019-06-12|dead
2019-06-12|dead
2019-06-11|dead
2019-06-11|dead
2019-06-11|dead
2019-06-11|dead
2019-06-11|dead
2019-06-11|dead
2019-06-11|Not_dead
2019-06-10|dead
2019-06-10|dead
2019-06-10|dead
2019-06-10|dead
2019-06-09|dead
2019-06-09|dead
2019-06-09|dead
2019-06-09|dead
2019-06-08|Not_dead
2019-06-08|dead
2019-06-08|Not_dead
2019-06-08|Not_dead
2019-06-07|dead
2019-06-07|dead
2019-06-07|dead
2019-06-07|dead
2019-06-06|Not_dead
2019-06-06|Not_dead
2019-06-06|dead
2019-06-06|dead
2019-06-06|Not_dead
2019-06-05|dead
2019-06-04|dead
2019-06-04|dead
2019-06-04|Not_dead
2019-06-04|dead
2019-06-03|Not_dead
2019-06-03|dead
2019-06-03|dead
2019-06-03|dead
2019-06-03|Not_dead
2019-06-02|dead
2019-06-01|dead
2019-06-01|dead
2019-06-01|dead
2019-05-31|dead
2019-05-31|dead
2019-05-31|dead
2019-05-30|dead
2019-05-30|dead
2019-05-29|dead
2019-05-29|dead
2019-05-29|dead
2019-05-28|dead
2019-05-28|dead
2019-05-28|dead
2019-05-28|dead
2019-05-28|dead
2019-05-28|dead
2019-05-27|dead
2019-05-27|dead
2019-05-27|dead
2019-05-26|dead
2019-05-26|Not_dead
2019-05-26|dead
2019-05-25|dead
2019-05-25|dead
2019-05-24|dead
2019-05-24|dead
2019-05-23|Not_dead
2019-05-23|Not_dead
2019-05-23|dead
2019-05-23|dead
2019-05-23|dead
2019-05-22|dead
2019-05-22|dead
2019-05-22|Not_dead
2019-05-22|dead
2019-05-22|Not_dead
2019-05-21|Not_dead
2019-05-21|Not_dead
2019-05-21|Not_dead
2019-05-21|Not_dead
2019-05-21|Not_dead
2019-05-21|Not_dead
2019-05-20|Not_dead
2019-05-20|dead
2019-05-20|dead
2019-05-20|dead
2019-05-19|dead
2019-05-18|dead
2019-05-17|dead
2019-05-17|dead
2019-05-17|Not_dead
2019-05-17|dead
2019-05-17|dead
2019-05-16|dead
2019-05-16|Not_dead
2019-05-16|dead
2019-05-15|dead
2019-05-15|dead
2019-05-14|Not_dead
2019-05-14|dead
2019-05-14|dead
2019-05-14|Not_dead
2019-05-14|dead
2019-05-13|dead
2019-05-13|dead
2019-05-12|dead
2019-05-12|Not_dead
2019-05-11|dead
2019-05-10|dead
2019-05-10|Not_dead
2019-05-10|Not_dead
